Sl No.,Item,2020-21,2021-22,2022-23,2023-24
1,TOTAL FLEET,3476,3454,3436,3347
2,AVERAGE AGE OF BUS,7.08,8.06,9.04,9.61
3,NEW BUSES PUT ON ROAD,0,0,0,66
4,SCHEDULED SERVICES,3233,3233,3233,3233
5,EFFECTIVE KMS (IN LAKHS),1304.6,2000.63,2357.83,2433.41
6,KM/BUS/DAY,252,253,255,254
7,% OF FLEET UTILIZATION,40.08,62.52,73.58,76.45
8,KM EFFICIENCY %,51.09,73.84,73.93,74.65
9,% OF OCCUPANCY,41.12,55.53,74.15,74.37
10,BREAKDOWNS,49,30,39,32
11,"B.D./10,000 KMS.",0.004,0.002,0.002,0.001
12,"ACCT/1,00,000 KM",0.59,0.5,0.47,0.5
13,TYRE LIFE IN KM,264458,268694,274029,292263
14,PASSENGER/DAY (IN LAKHS),11.32,28.7,30.17,31.27
15,MEN/BUS (FOR FLEET),6.16,6.06,5.87,5.8
